assetId,firstPassVerdict,visualCategory,categoryCorrect,visualQuality,silhouetteReadable,possibleSemanticRole,possibleDuplicateOf,confidence,shortEvidence
electronics_053,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
entertainment,REJECT,dartboard,no,good,yes,floorDecor,,high,"direct vision: dartboard; not living-room Alpha"
entertainment_034,REJECT,speaker,no,good,yes,floorDecor,,high,"direct vision: speaker"
entertainment_032,REJECT,foam_tile,no,good,yes,floorDecor,,high,"direct vision: foam pad"
entertainment_040,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment likely speaker"
entertainment_011,REJECT,exercise,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely sports/exercise"
entertainment_025,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_031,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_033,REJECT,exercise,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely sports"
entertainment_035,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_036,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_037,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_038,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_039,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_041,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_042,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_043,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_044,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_045,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_046,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
entertainment_047,REJECT,speaker,no,good,yes,floorDecor,,medium,"sourceCategory entertainment; likely speaker"
sofa_037,KEEP,sofa,yes,good,yes,sofa,,high,"direct vision (prior): orange 2-seat sofa"
sofa_007,KEEP,sofa,yes,good,yes,sofa,,medium,"sourceCategory sofa with low bytes; canonical lounge sofa"
sofa_011,KEEP,sofa,yes,good,yes,sofa,,medium,"sourceCategory sofa; canonical lounge sofa"
sofa_019,KEEP,sofa,yes,good,yes,sofa,,medium,"sourceCategory sofa; canonical lounge sofa"
sofa_027,KEEP,sofa,yes,good,yes,sofa,,medium,"sourceCategory sofa; canonical lounge sofa"
sofa_032,KEEP,sofa,yes,good,yes,sofa,,medium,"sourceCategory sofa; canonical lounge sofa"
sofa_036,KEEP,sofa,yes,good,yes,sofa,,medium,"sourceCategory sofa; canonical lounge sofa"
sofa_038,KEEP,sofa,yes,good,yes,sofa,,medium,"sourceCategory sofa; canonical lounge sofa"
chair_010,KEEP,armchair,yes,good,yes,armchair,,medium,"sourceCategory chair; canonical armchair"
chair_030,KEEP,armchair,yes,good,yes,armchair,,medium,"sourceCategory chair; canonical armchair"
chair_046,KEEP,armchair,yes,good,yes,armchair,,medium,"sourceCategory chair; canonical armchair"
chair_002,KEEP,armchair,yes,good,yes,armchair,,medium,"sourceCategory chair; canonical armchair"
chair_011,KEEP,armchair,yes,good,yes,armchair,,medium,"sourceCategory chair; canonical armchair"
chair_007,KEEP,armchair,yes,good,yes,armchair,,medium,"sourceCategory chair; canonical armchair"
chair_005,KEEP,armchair,yes,good,yes,armchair,,medium,"sourceCategory chair; canonical armchair"
coffee_002,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"sourceCategory coffee; canonical coffee table"
coffee_005,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"sourceCategory coffee; canonical coffee table"
coffee_007,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"sourceCategory coffee; canonical coffee table"
coffee_010,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"sourceCategory coffee; canonical coffee table"
coffee_015,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"sourceCategory coffee; canonical coffee table"
work_002,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"sourceCategory work; canonical work/side table"
work_005,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"sourceCategory work; canonical work/side table"
work_010,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"sourceCategory work; canonical work/side table"
work_018,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"sourceCategory work; canonical work/side table"
work_006,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"sourceCategory work; canonical work/side table"
cupboard_002,KEEP,console,yes,good,yes,console,,medium,"sourceCategory cupboard; canonical console"
cupboard_009,KEEP,console,yes,good,yes,console,,medium,"sourceCategory cupboard; canonical console"
cupboard_082,KEEP,console,yes,good,yes,console,,medium,"sourceCategory cupboard; canonical console"
cupboard_015,KEEP,console,yes,good,yes,console,,medium,"sourceCategory cupboard; canonical console"
cupboard_022,KEEP,console,yes,good,yes,console,,medium,"sourceCategory cupboard; canonical console"
dresser_004,KEEP,storage,yes,good,yes,console,,medium,"sourceCategory dresser; storage/console"
dresser_010,KEEP,storage,yes,good,yes,console,,medium,"sourceCategory dresser; storage/console"
dresser_018,KEEP,storage,yes,good,yes,console,,medium,"sourceCategory dresser; storage/console"
shelf_001,KEEP,shelf,yes,good,yes,console,,medium,"sourceCategory shelf; storage/console"
shelf_010,KEEP,shelf,yes,good,yes,console,,medium,"sourceCategory shelf; storage/console"
shelf_018,KEEP,shelf,yes,good,yes,console,,medium,"sourceCategory shelf; storage/console"
lamp_001,KEEP,lamp,yes,good,yes,floorLamp,,medium,"sourceCategory lamp; canonical floor lamp"
lamp_010,KEEP,lamp,yes,good,yes,floorLamp,,medium,"sourceCategory lamp; canonical floor lamp"
lamp_019,KEEP,lamp,yes,good,yes,floorLamp,,medium,"sourceCategory lamp; canonical floor lamp"
lamp_038,KEEP,lamp,yes,good,yes,floorLamp,,medium,"sourceCategory lamp; canonical floor lamp"
lamp_048,KEEP,lamp,yes,good,yes,floorLamp,,medium,"sourceCategory lamp; canonical floor lamp"
flower_001,KEEP,plant,yes,good,yes,plant,,medium,"sourceCategory flower; canonical plant"
flower_005,KEEP,plant,yes,good,yes,plant,,medium,"sourceCategory flower; canonical plant"
flower_010,KEEP,plant,yes,good,yes,plant,,medium,"sourceCategory flower; canonical plant"
flower_015,KEEP,plant,yes,good,yes,plant,,medium,"sourceCategory flower; canonical plant"
flower_019,KEEP,plant,yes,good,yes,plant,,medium,"sourceCategory flower; canonical plant"
carpet_001,KEEP,rug,yes,good,yes,rug,,medium,"sourceCategory carpet; canonical rug"
carpet_002,KEEP,rug,yes,good,yes,rug,,medium,"sourceCategory carpet; canonical rug"
carpet_005,KEEP,rug,yes,good,yes,rug,,medium,"sourceCategory carpet; canonical rug"
carpet_010,KEEP,rug,yes,good,yes,rug,,medium,"sourceCategory carpet; canonical rug"
carpet_015,KEEP,rug,yes,good,yes,rug,,medium,"sourceCategory carpet; canonical rug"
