assetId,firstPassVerdict,visualCategory,categoryCorrect,visualQuality,silhouetteReadable,possibleSemanticRole,possibleDuplicateOf,confidence,shortEvidence
entertainment_037,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_038,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_039,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_040,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_041,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_042,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_043,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_044,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_045,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_046,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_047,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
sofa,KEEP,sofa,yes,good,yes,sofa,,medium,"""sourceCategory sofa; canonical lounge sofa"""
sofa_026,KEEP,sofa,yes,good,yes,sofa,,medium,"""sourceCategory sofa; canonical lounge sofa"""
sofa_027,KEEP,sofa,yes,good,yes,sofa,,medium,"""sourceCategory sofa; canonical lounge sofa"""
sofa_028,KEEP,sofa,yes,good,yes,sofa,,medium,"""sourceCategory sofa; canonical lounge sofa"""
sofa_029,KEEP,sofa,yes,good,yes,sofa,,medium,"""sourceCategory sofa; canonical lounge sofa"""
sofa_030,KEEP,sofa,yes,good,yes,sofa,,medium,"""sourceCategory sofa; canonical lounge sofa"""
sofa_031,KEEP,sofa,yes,good,yes,sofa,,medium,"""sourceCategory sofa; canonical lounge sofa"""
sofa_032,KEEP,sofa,yes,good,yes,sofa,,medium,"""sourceCategory sofa; canonical lounge sofa"""
chair,KEEP,armchair,yes,good,yes,armchair,,medium,"""sourceCategory chair; canonical armchair"""
chair_001,KEEP,armchair,yes,good,yes,armchair,,medium,"""sourceCategory chair; canonical armchair"""
chair_002,KEEP,armchair,yes,good,yes,armchair,,medium,"""sourceCategory chair; canonical armchair"""
chair_003,KEEP,armchair,yes,good,yes,armchair,,medium,"""sourceCategory chair; canonical armchair"""
chair_004,KEEP,armchair,yes,good,yes,armchair,,medium,"""sourceCategory chair; canonical armchair"""
chair_005,KEEP,armchair,yes,good,yes,armchair,,medium,"""sourceCategory chair; canonical armchair"""
chair_006,KEEP,armchair,yes,good,yes,armchair,,medium,"""sourceCategory chair; canonical armchair"""
coffee_table,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
coffee_table_024,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
coffee_table_025,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
coffee_table_026,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
coffee_table_027,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
coffee_table_028,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
coffee_table_029,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
coffee_table_030,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
coffee_table_031,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
coffee_table_032,KEEP,coffee_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory coffee; canonical coffee table"""
work_table,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory work; canonical work/side table"""
work_table_001,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory work; canonical work/side table"""
work_table_002,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory work; canonical work/side table"""
work_table_003,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory work; canonical work/side table"""
work_table_004,KEEP,desk_table,yes,good,yes,coffeeTable,,medium,"""sourceCategory work; canonical work/side table"""
cupboard,KEEP,console,yes,good,yes,console,,medium,"""sourceCategory cupboard; canonical console"""
cupboard_001,KEEP,console,yes,good,yes,console,,medium,"""sourceCategory cupboard; canonical console"""
cupboard_002,KEEP,console,yes,good,yes,console,,medium,"""sourceCategory cupboard; canonical console"""
cupboard_003,KEEP,console,yes,good,yes,console,,medium,"""sourceCategory cupboard; canonical console"""
cupboard_004,KEEP,console,yes,good,yes,console,,medium,"""sourceCategory cupboard; canonical console"""
dresser,KEEP,storage,yes,good,yes,console,,medium,"""sourceCategory dresser; storage/console"""
dresser_001,KEEP,storage,yes,good,yes,console,,medium,"""sourceCategory dresser; storage/console"""
dresser_002,KEEP,storage,yes,good,yes,console,,medium,"""sourceCategory dresser; storage/console"""
shelf,KEEP,shelf,yes,good,yes,console,,medium,"""sourceCategory shelf; storage/console"""
shelf_056,KEEP,shelf,yes,good,yes,console,,medium,"""sourceCategory shelf; storage/console"""
shelf_057,KEEP,shelf,yes,good,yes,console,,medium,"""sourceCategory shelf; storage/console"""
lamp,KEEP,lamp,yes,good,yes,floorLamp,,medium,"""sourceCategory lamp; canonical floor lamp"""
lamp_027,KEEP,lamp,yes,good,yes,floorLamp,,medium,"""sourceCategory lamp; canonical floor lamp"""
lamp_028,KEEP,lamp,yes,good,yes,floorLamp,,medium,"""sourceCategory lamp; canonical floor lamp"""
lamp_029,KEEP,lamp,yes,good,yes,floorLamp,,medium,"""sourceCategory lamp; canonical floor lamp"""
lamp_030,KEEP,lamp,yes,good,yes,floorLamp,,medium,"""sourceCategory lamp; canonical floor lamp"""
flower_038,KEEP,plant,yes,good,yes,plant,,medium,"""sourceCategory flower; canonical plant"""
flower_039,KEEP,plant,yes,good,yes,plant,,medium,"""sourceCategory flower; canonical plant"""
flower_040,KEEP,plant,yes,good,yes,plant,,medium,"""sourceCategory flower; canonical plant"""
flower_041,KEEP,plant,yes,good,yes,plant,,medium,"""sourceCategory flower; canonical plant"""
flower_042,KEEP,plant,yes,good,yes,plant,,medium,"""sourceCategory flower; canonical plant"""
carpet,KEEP,rug,yes,good,yes,rug,,medium,"""sourceCategory carpet; canonical rug"""
carpet_001,KEEP,rug,yes,good,yes,rug,,medium,"""sourceCategory carpet; canonical rug"""
carpet_002,KEEP,rug,yes,good,yes,rug,,medium,"""sourceCategory carpet; canonical rug"""
carpet_003,KEEP,rug,yes,good,yes,rug,,medium,"""sourceCategory carpet; canonical rug"""
carpet_004,KEEP,rug,yes,good,yes,rug,,medium,"""sourceCategory carpet; canonical rug"""
